"ScanNumber, ScanName, ScanPointNumber, corr_Xcoord in mm per BX, corr_Ycoord in mm per BX"
Scan_1
2,Y2,16,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.0014638457697470854, '1783': 0.0014479762284772347, '872': 0.0013823337143086896, '2063': 0.0015604684238660241, '41': 0.0013244652634344335}"
2,Y2,17,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.0015692964099779561, '1783': 0.0015472885714147258, '872': 0.001491155830407163, '2063': 0.001673169978694711, '41': 0.0014546831220715428}"
2,Y2,18,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.0015276212402613619, '1783': 0.0015014202886513628, '872': 0.001460180707514025, '2063': 0.0016288996724095571, '41': 0.0014501985866364588}"
2,Y2,19,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.0014082452443179548, '1783': 0.0013804349960044641, '872': 0.0013526863514542761, '2063': 0.0015015555974430743, '41': 0.0013637774382027389}"
2,Y2,20,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.0012656009526457344, '1783': 0.0012382599932380329, '872': 0.0012195964249144008, '2063': 0.001349235779484773, '41': 0.0012428222175494797}"
2,Y2,21,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.0011298535252268059, '1783': 0.0011042325662976695, '872': 0.0010906903584995541, '2063': 0.0012042332116483014, '41': 0.0011183710523938637}"
2,Y2,22,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.0010122750503936272, '1783': 0.00098873642083076741, '872': 0.00097787708934764456, '2063': 0.0010786591674861467, '41': 0.0010055085331561818}"
2,Y2,23,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.00091386833523944609, '1783': 0.00089239147239575465, '872': 0.00088301216328654029, '2063': 0.00097359682614505587, '41': 0.00090866231320949}"
2,Y2,24,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.00083197886938766357, '1783': 0.0008123189803576859, '872': 0.00080386160144940071, '2063': 0.00088618905606104611, '41': 0.00082715047435369545}"
2,Y2,25,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.000763295000076625, '1783': 0.00074520362338434507, '872': 0.00073742663881638196, '2063': 0.00081291905974719325, '41': 0.00075853542679307491}"
Scan_4
4,X4,1,"{'281': -0.00082269140801320608, '1783': -0.00080328137023990306, '872': -0.00079415241401365486, '2063': -0.00087475152448157514, '41': -0.00081191139529745223}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
4,X4,2,"{'281': -0.00089783290602189704, '1783': -0.00087676794033215164, '872': -0.00086670747515228013, '2063': -0.00095454531881749931, '41': -0.00088540103507470829}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
4,X4,3,"{'281': -0.00098778371420200819, '1783': -0.00096479654220261155, '872': -0.00095336249225419078, '2063': -0.0010500086276692161, '41': -0.0009728159381221013}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
4,X4,4,"{'281': -0.0010957727563286324, '1783': -0.00107063869000638, '872': -0.0010572080711418015, '2063': -0.0011645947715114406, '41': -0.0010765676290555644}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
4,X4,5,"{'281': -0.0012242845315776029, '1783': -0.0011970165580645503, '872': -0.0011801881524562609, '2063': -0.0013009966551843096, '41': -0.0011976000070332425}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
4,X4,6,"{'281': -0.0013705867907055894, '1783': -0.001341660768735494, '872': -0.0013191119561116657, '2063': -0.0014564602766029857, '41': -0.0013310034338578714}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
